MarketID,s_k,p_k,s_0,steel,labor,product
1,0.049022429384542626,34.4,0.8653224274902105,7.87,22.38,a
1,0.08565514312524689,34.82,0.8653224274902105,7.87,22.38,b
2,0.0759469519263505,31.63185872998277,0.8380586039523267,7.5,22.74,a
2,0.08599444412132284,34.42185872884202,0.8380586039523267,7.5,22.74,b
3,0.03215246051531029,37.70711547686551,0.8669793589298175,8.83,21.55,a
3,0.10086818055487226,35.67711546139121,0.8669793589298175,8.83,21.55,b
4,0.0483979309827942,34.694001928862335,0.8682074603774129,6.39,21.94,a
4,0.08339460863979291,35.41400187575834,0.8682074603774129,6.39,21.94,b
5,0.03059430106529475,38.93052582728404,0.879190072381969,7.41,20.44,a
5,0.0902156265527363,34.8905257768669,0.879190072381969,7.41,20.44,b
6,0.03639079842075788,36.559033010702784,0.8736323538504769,8.3,20.92,a
6,0.08997684772876519,35.829032988483945,0.8736323538504769,8.3,20.92,b
7,0.04799088388001332,33.7494308241806,0.8594331591384501,6.96,21.32,a
7,0.09257595698153664,34.809430818188964,0.8594331591384501,6.96,21.32,b
8,0.03903709151197248,33.54787204815172,0.8787417131627763,7.45,21.7,a
8,0.0822211953252513,34.267872045630384,0.8787417131627763,7.45,21.7,b
9,0.030998698578343125,35.70178174965016,0.87841647391681,7.47,19.76,a
9,0.09058482750484685,35.35178168436976,0.87841647391681,7.47,19.76,b
10,0.03742087832744577,35.21797105719391,0.8872677268854541,7.36,24.45,a
10,0.07531139478710008,33.99797105467965,0.8872677268854541,7.36,24.45,b
11,0.04780961795712746,35.140523973255846,0.8645172796751492,7.68,21.1,a
11,0.08767310236772333,33.25052396579581,0.8645172796751492,7.68,21.1,b
12,0.0452746180855686,36.92096370472632,0.8729491120055152,7.85,21.25,a
12,0.0817762699089162,34.050963692537984,0.8729491120055152,7.85,21.25,b
13,0.05639804682548284,33.16,0.8684660995944442,7.98,23.52,a
13,0.07513585358007295,33.65,0.8684660995944442,7.98,23.52,b
14,0.054499122946073536,33.66,0.8763344174054113,8.98,21.88,a
14,0.06916645964851514,35.7,0.8763344174054113,8.98,21.88,b
15,0.04487313812043338,34.66,0.886215413551007,9.24,21.65,a
15,0.06891144832855965,35.45,0.886215413551007,9.24,21.65,b
16,0.0396742441956495,35.72,0.8997075291727863,8.86,22.27,a
16,0.06061822663156425,37.57,0.8997075291727863,8.86,22.27,b
17,0.05545714520815249,34.46,0.8738182946171421,9.06,23.76,a
17,0.07072456017470537,36.65,0.8738182946171421,9.06,23.76,b
18,0.048005567467202595,33.28,0.8724427092269874,8.5,22.14,a
18,0.07955172330580998,35.32,0.8724427092269874,8.5,22.14,b
19,0.05158794610378439,33.799664934252895,0.8680565394250266,7.26,21.51,a
19,0.08035551447118906,34.9996649274666,0.8680565394250266,7.26,21.51,b
20,0.040053179786251926,34.45,0.8893854781878329,9.12,21.68,a
20,0.07056134202591526,34.33,0.8893854781878329,9.12,21.68,b
21,0.035796690683454375,35.33475821683468,0.8740556029971891,8.37,20.65,a
21,0.09014770631935652,33.864758184976864,0.8740556029971891,8.37,20.65,b
22,0.04597268089290809,32.67,0.8807087600473905,7.55,21.81,a
22,0.0733185590597014,34.12,0.8807087600473905,7.55,21.81,b
23,0.059480490254379445,32.4,0.8465714062753987,8.76,19.57,a
23,0.09394810347022188,33.64,0.8465714062753987,8.76,19.57,b
24,0.05360150502628459,34.42,0.8870633480341719,9.07,22.65,a
24,0.05933514693954353,35.23,0.8870633480341719,9.07,22.65,b
25,0.04909696015975051,34.05761019443101,0.8820504970286577,7.95,21.42,a
25,0.06885254281159182,35.477610187316664,0.8820504970286577,7.95,21.42,b
26,0.04863614953289622,35.864066576795366,0.863670055901578,7.39,21.74,a
26,0.08769379456552578,35.77406655656367,0.863670055901578,7.39,21.74,b
27,0.06639260941996356,32.48,0.8740596362687785,9.08,21.04,a
27,0.05954775431125789,35.62,0.8740596362687785,9.08,21.04,b
28,0.04616108075730254,34.40697617555189,0.8762281716302353,7.99,22.38,a
28,0.07761074761246224,33.546976171297864,0.8762281716302353,7.99,22.38,b
29,0.06604580114764362,31.37,0.8450177392278825,8.39,21.58,a
29,0.0889364596244739,33.33,0.8450177392278825,8.39,21.58,b
30,0.027201244536248222,37.874810642959666,0.8781882405399747,9.18,22.73,a
30,0.09461051492377713,36.02481063984588,0.8781882405399747,9.18,22.73,b
31,0.037495170940793236,37.26911466667512,0.8761337360630604,8.48,20.72,a
31,0.08637109299614634,34.79911465584817,0.8761337360630604,8.48,20.72,b
32,0.05686840831359661,31.195350739190545,0.8481924663614999,7.63,22.46,a
32,0.09493912532490344,34.66535072886793,0.8481924663614999,7.63,22.46,b
33,0.030919694412710887,36.614967591072926,0.8863804575006428,7.84,22.13,a
33,0.0826998480866463,35.79496758770866,0.8863804575006428,7.84,22.13,b
34,0.05344951053511118,33.36,0.8935431475768495,8.16,22.43,a
34,0.05300734188803939,36.84,0.8935431475768495,8.16,22.43,b
35,0.03201659576575763,37.61402452560836,0.8898986608055256,5.01,21.71,a
35,0.0780847434287167,35.034023348148445,0.8898986608055256,5.01,21.71,b
36,0.03142597159533937,34.5668580235289,0.8862953879446988,7.64,21.17,a
36,0.08227864045996193,33.256858016099365,0.8862953879446988,7.64,21.17,b
37,0.05608227108066998,34.70919623885139,0.8566801515632687,7.84,22.05,a
37,0.08723757735606129,35.91919623608912,0.8566801515632687,7.84,22.05,b
38,0.06172466001422398,32.561942122936834,0.8493987537376606,7.99,22.04,a
38,0.08887658624811541,33.561942121087,0.8493987537376606,7.99,22.04,b
39,0.06416988948803373,32.39136373530309,0.8494697211872186,7.96,21.72,a
39,0.08636038932474768,35.50136373171081,0.8494697211872186,7.96,21.72,b
40,0.04259801307308132,35.34788049357497,0.8844144372773564,8.87,21.34,a
40,0.07298754964956237,36.87788048213109,0.8844144372773564,8.87,21.34,b
41,0.022846214436428147,36.688302318024164,0.8989201348698534,8.69,21.87,a
41,0.0782336506937184,36.54830225413483,0.8989201348698534,8.69,21.87,b
42,0.037312543466517266,36.86,0.9068918314190116,10.58,22.0,a
42,0.05579562511447112,37.21,0.9068918314190116,10.58,22.0,b
43,0.04838562665998856,35.6,0.8828112750848134,8.55,23.45,a
