Category,Variable,Unit,Observed,Validation,Status Quo,First Best CarbonTax,EquivEmission_CarbonTax,EquivEmission_RFS,EquivEmission_LCFS,EquivEmission_TaxCredit,EquivEmission_5B_CarbonTax,EquivEmission_5B_RFS,EquivEmission_5B_LCFS,EquivEmission_5B_TaxCredit
Metadata,Scenario_Name,,Observed,Validation,Status Quo,First Best CarbonTax,EquivEmission_CarbonTax,EquivEmission_RFS,EquivEmission_LCFS,EquivEmission_TaxCredit,EquivEmission_5B_CarbonTax,EquivEmission_5B_RFS,EquivEmission_5B_LCFS,EquivEmission_5B_TaxCredit
Policy,Stringency,Various,0,0,0,190,90.53,0.29,0.08,14.4,206.84,0.5,0.16,29.05
Target,Total_Emissions_BtonCO2e,BtonCO2e,,,,,2.53,2.53,2.53,2.53,2.49,2.49,2.49,2.49
Production,jet_fuel,B gal,20.34,,20.51,13.37,16.49,16.62,16.29,18.42,12.93,14.28,12.67,17.14
Production,saf_atj_conv,B gal,,,0,2.43,1.23,0,3.5,0.64,2.62,0,4.5,0
Production,saf_atj_cs,B gal,,,0,0,0,2.57,0,0,0,3.81,0,1.65
Production,saf_hefa_conv,B gal,,,0,0,0,0,0,0,0,0,0,0
Production,saf_hefa_cs,B gal,,,0,0,0,0.44,0,0,0,0.65,0,0.28
Production,saf_hefa_nonsoy,B gal,,,0,0,0,0,0,1.51,0,0,1.38,1.52
Production,gasoline,B gal,125.61,,125.86,125.37,125.63,125.25,125.1,125.51,125.33,124.85,124.79,124.88
Production,ethanol,B gal,14.24,,13.98,13.93,13.96,13.92,13.9,13.95,13.93,13.87,13.87,13.88
Production,diesel,B gal,43.9,,44.51,44.52,44.51,44.52,44.52,43.91,44.52,44.52,44.5,43.11
Production,biodiesel_soy,B gal,1.09,,2.27,2.34,2.33,1.84,2.34,2.31,2.34,1.64,2.34,2.27
Production,biodiesel_nonsoy,B gal,0.82,,0.08,0,0.02,0.5,0,0,0,0.7,0,0
Production,rd_soy,B gal,0.99,,0,0.04,0,0,0.09,0.28,0.05,0,0.16,0.27
Production,rd_nonsoy,B gal,2.68,,2.23,2.19,2.23,2.23,2.14,1.93,2.18,2.23,2.07,1.92
Demand,avi,B gal,1199.13,1204.79,1208.97,927.66,1042.76,1152.03,1161.41,1208.97,912.2,1097.81,1084.14,1208.97
Demand,gas,B gal,2672.65,2856.73,2858.12,2847.06,2853.01,2844.34,2840.83,2850.23,2846.06,2835.24,2833.94,2836.03
Demand,die,B gal,301.86,357.28,354.59,354.59,354.59,354.59,354.59,349.87,354.59,354.59,354.41,343.55
Demand,corn,B bushel,9.09,8.51,8.49,7.81,8.14,7.68,7.53,8.51,7.76,7.31,7.27,8.41
